App,Category_google,Rating_google,Reviews_google,Size_google,Installs,Type,Price_google,Content Rating_google,Last Updated,Size_apple,currency,Price_apple,Reviews_apple,Rating_apple,Content Rating_apple,Category_apple,Reviews
Infinite Painter,ART_AND_DESIGN,4.1,36815,29000.0,1000000.0,Free,0.0,Everyone,14-Jun-18,22405120,USD,0.0,65,4.0,4+,Productivity,36815
Indeed Job Search,BUSINESS,4.3,674730,,50000000.0,Free,0.0,Everyone,21-May-18,3691520,USD,0.0,38681,4.0,4+,Business,674730
Uber Driver,BUSINESS,4.4,1254730,,10000000.0,Free,0.0,Everyone,3-Aug-18,162263040,USD,0.0,3289,3.0,4+,Business,1254730
ADP Mobile Solutions,BUSINESS,4.3,85185,29000.0,5000000.0,Free,0.0,Everyone,17-Jul-18,53805056,USD,0.0,8324,4.0,4+,Business,85185
WhatsApp Messenger,COMMUNICATION,4.4,69119316,,1000000000.0,Free,0.0,Everyone,3-Aug-18,135044096,USD,0.0,287589,4.5,4+,Social Networking,69119316
WhatsApp Messenger,COMMUNICATION,4.4,69119316,,1000000000.0,Free,0.0,Everyone,3-Aug-18,135044096,USD,0.0,287589,4.5,4+,Social Networking,69119316
WhatsApp Messenger,COMMUNICATION,4.4,69109672,,1000000000.0,Free,0.0,Everyone,3-Aug-18,135044096,USD,0.0,287589,4.5,4+,Social Networking,69109672
Hangouts,COMMUNICATION,4.0,3419249,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419249
Hangouts,COMMUNICATION,4.0,3419433,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419433
Hangouts,COMMUNICATION,4.0,3419513,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419513
Hangouts,COMMUNICATION,4.0,3419464,,1000000000.0,Free,0.0,Everyone,21-Jul-18,94750720,USD,0.0,36404,4.0,4+,Social Networking,3419464
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4000.0,1000000.0,Free,0.0,Everyone,6-Jul-18,15081472,USD,0.0,477,4.0,17+,Utilities,36880
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4000.0,1000000.0,Free,0.0,Everyone,6-Jul-18,15081472,USD,0.0,477,4.0,17+,Utilities,36893
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36981,4000.0,1000000.0,Free,0.0,Everyone,6-Jul-18,15081472,USD,0.0,477,4.0,17+,Utilities,36981
WeChat,COMMUNICATION,4.2,5387333,,100000000.0,Free,0.0,Everyone,31-Jul-18,182624256,USD,0.0,34584,4.5,12+,Social Networking,5387333
WeChat,COMMUNICATION,4.2,5387446,,100000000.0,Free,0.0,Everyone,31-Jul-18,182624256,USD,0.0,34584,4.5,12+,Social Networking,5387446
WeChat,COMMUNICATION,4.2,5387446,,100000000.0,Free,0.0,Everyone,31-Jul-18,182624256,USD,0.0,34584,4.5,12+,Social Networking,5387446
WeChat,COMMUNICATION,4.2,5387631,,100000000.0,Free,0.0,Everyone,31-Jul-18,182624256,USD,0.0,34584,4.5,12+,Social Networking,5387631
Puffin Web Browser,COMMUNICATION,4.3,541389,,10000000.0,Free,0.0,Everyone,9-Jul-18,66607104,USD,0.0,11677,4.0,17+,Utilities,541389
Puffin Web Browser,COMMUNICATION,4.3,541389,,10000000.0,Free,0.0,Everyone,9-Jul-18,66607104,USD,0.0,11677,4.0,17+,Utilities,541389
Puffin Web Browser,COMMUNICATION,4.3,541661,,10000000.0,Free,0.0,Everyone,9-Jul-18,66607104,USD,0.0,11677,4.0,17+,Utilities,541661
GMX Mail,COMMUNICATION,4.3,258556,,10000000.0,Free,0.0,Everyone,25-Jul-18,100336640,USD,0.0,102,4.5,4+,Productivity,258556
GroupMe,COMMUNICATION,4.5,330761,,10000000.0,Free,0.0,Everyone,3-Jul-18,66864128,USD,0.0,28260,4.5,4+,Social Networking,330761
Puffin Browser Pro,COMMUNICATION,4.0,18247,,100000.0,Paid,3.99,Everyone,5-Jul-18,63474688,USD,3.99,7565,3.5,17+,Utilities,18247
TED,EDUCATION,4.6,181893,18000.0,10000000.0,Free,0.0,Everyone 10+,27-Jul-18,84056064,USD,0.0,5782,3.5,12+,Education,181893
TED,EDUCATION,4.6,181893,18000.0,10000000.0,Free,0.0,Everyone 10+,27-Jul-18,84056064,USD,0.0,5782,3.5,12+,Education,181893
TED,EDUCATION,4.6,181893,18000.0,10000000.0,Free,0.0,Everyone 10+,27-Jul-18,84056064,USD,0.0,5782,3.5,12+,Education,181893
TED,FAMILY,4.6,181961,18000.0,10000000.0,Free,0.0,Everyone 10+,27-Jul-18,84056064,USD,0.0,5782,3.5,12+,Education,181961
PBS KIDS Video,EDUCATION,4.2,36212,,5000000.0,Free,0.0,Everyone,12-Jul-18,57694208,USD,0.0,8651,3.5,4+,Education,36212
PBS KIDS Video,FAMILY,4.2,36214,,5000000.0,Free,0.0,Everyone,12-Jul-18,57694208,USD,0.0,8651,3.5,4+,Education,36214
Google Classroom,EDUCATION,4.2,69493,,10000000.0,Free,0.0,Everyone,19-Jul-18,143749120,USD,0.0,5942,4.0,4+,Education,69493
Google Classroom,EDUCATION,4.2,69498,,10000000.0,Free,0.0,Everyone,19-Jul-18,143749120,USD,0.0,5942,4.0,4+,Education,69498
Google Classroom,EDUCATION,4.2,69498,,10000000.0,Free,0.0,Everyone,19-Jul-18,143749120,USD,0.0,5942,4.0,4+,Education,69498
Edmodo,EDUCATION,4.1,200058,18000.0,10000000.0,Free,0.0,Everyone,20-Jul-18,127939584,USD,0.0,7197,3.5,4+,Education,200058
Edmodo,FAMILY,4.1,200214,18000.0,10000000.0,Free,0.0,Everyone,6-Aug-18,127939584,USD,0.0,7197,3.5,4+,Education,200214
ClassDojo,EDUCATION,4.4,148550,59000.0,10000000.0,Free,0.0,Everyone,3-Aug-18,80195584,USD,0.0,35440,4.5,4+,Education,148550
ClassDojo,EDUCATION,4.4,148549,59000.0,10000000.0,Free,0.0,Everyone,3-Aug-18,80195584,USD,0.0,35440,4.5,4+,Education,148549
ClassDojo,FAMILY,4.4,148536,59000.0,10000000.0,Free,0.0,Everyone,3-Aug-18,80195584,USD,0.0,35440,4.5,4+,Education,148536
Toca Life: City,EDUCATION,4.7,31085,24000.0,500000.0,Paid,3.99,Everyone,6-Jul-18,332123136,USD,2.99,3571,4.5,4+,Education,31085
Toca Life: City,FAMILY,4.7,31100,24000.0,500000.0,Paid,3.99,Everyone,6-Jul-18,332123136,USD,2.99,3571,4.5,4+,Education,31100
Netflix,ENTERTAINMENT,4.4,5456208,,100000000.0,Free,0.0,Teen,31-Jul-18,125016064,USD,0.0,308844,3.5,4+,Entertainment,5456208
Netflix,ENTERTAINMENT,4.4,5456208,,100000000.0,Free,0.0,Teen,31-Jul-18,125016064,USD,0.0,308844,3.5,4+,Entertainment,5456208
Netflix,ENTERTAINMENT,4.4,5456599,,100000000.0,Free,0.0,Teen,31-Jul-18,125016064,USD,0.0,308844,3.5,4+,Entertainment,5456599
Netflix,ENTERTAINMENT,4.4,5456708,,100000000.0,Free,0.0,Teen,31-Jul-18,125016064,USD,0.0,308844,3.5,4+,Entertainment,5456708
Netflix,FAMILY,4.4,5453997,,100000000.0,Free,0.0,Teen,31-Jul-18,125016064,USD,0.0,308844,3.5,4+,Entertainment,5453997
YouTube Kids,ENTERTAINMENT,4.5,470089,,50000000.0,Free,0.0,Everyone,3-Aug-18,119236608,USD,0.0,28560,4.5,4+,Entertainment,470089
YouTube Kids,FAMILY,4.5,470694,,50000000.0,Free,0.0,Everyone,3-Aug-18,119236608,USD,0.0,28560,4.5,4+,Entertainment,470694
YouTube Kids,FAMILY,4.5,470713,,50000000.0,Free,0.0,Everyone,3-Aug-18,119236608,USD,0.0,28560,4.5,4+,Entertainment,470713
YouTube Kids,FAMILY,4.5,469851,,50000000.0,Free,0.0,Everyone,3-Aug-18,119236608,USD,0.0,28560,4.5,4+,Entertainment,469851
Talking Ginger 2,ENTERTAINMENT,4.2,702975,49000.0,50000000.0,Free,0.0,Everyone,5-Jul-18,81372160,USD,0.0,8311,4.5,4+,Entertainment,702975
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24000.0,50000000.0,Free,0.0,Teen,2-Aug-18,69435392,USD,0.0,43667,4.0,12+,Entertainment,411683
Regal Cinemas,ENTERTAINMENT,4.3,32732,,1000000.0,Free,0.0,Everyone,19-Jul-18,76895232,USD,0.0,13257,4.5,4+,Entertainment,32732
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,,10000000.0,Free,0.0,Teen,2-Aug-18,81924096,USD,0.0,291787,4.0,4+,Entertainment,243747
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,,10000000.0,Free,0.0,Teen,2-Aug-18,81924096,USD,0.0,291787,4.0,4+,Entertainment,243747
STARZ,ENTERTAINMENT,4.3,88185,,10000000.0,Free,0.0,Mature 17+,20-Jun-18,110111744,USD,0.0,8971,3.5,17+,Entertainment,88185
STARZ,ENTERTAINMENT,4.3,88185,,10000000.0,Free,0.0,Mature 17+,20-Jun-18,110111744,USD,0.0,8971,3.5,17+,Entertainment,88185
STARZ,ENTERTAINMENT,4.3,88185,,10000000.0,Free,0.0,Mature 17+,20-Jun-18,110111744,USD,0.0,8971,3.5,17+,Entertainment,88185
Nick,ENTERTAINMENT,4.2,123279,25000.0,10000000.0,Free,0.0,Everyone 10+,24-Jan-18,38045696,USD,0.0,13237,3.5,4+,Entertainment,123279
Nick,ENTERTAINMENT,4.2,123279,25000.0,10000000.0,Free,0.0,Everyone 10+,24-Jan-18,38045696,USD,0.0,13237,3.5,4+,Entertainment,123279
Nick,ENTERTAINMENT,4.2,123279,25000.0,10000000.0,Free,0.0,Everyone 10+,24-Jan-18,38045696,USD,0.0,13237,3.5,4+,Entertainment,123279
Nick,ENTERTAINMENT,4.2,123279,25000.0,10000000.0,Free,0.0,Everyone 10+,24-Jan-18,38045696,USD,0.0,13237,3.5,4+,Entertainment,123279
Nick,FAMILY,4.2,123322,25000.0,10000000.0,Free,0.0,Everyone 10+,24-Jan-18,38045696,USD,0.0,13237,3.5,4+,Entertainment,123322
Nick,FAMILY,4.2,123309,25000.0,10000000.0,Free,0.0,Everyone 10+,24-Jan-18,38045696,USD,0.0,13237,3.5,4+,Entertainment,123309
The CW,ENTERTAINMENT,4.4,288150,21000.0,5000000.0,Free,0.0,Teen,23-Jul-18,30552064,USD,0.0,97368,4.5,12+,Entertainment,288150
The CW,ENTERTAINMENT,4.4,288150,21000.0,5000000.0,Free,0.0,Teen,23-Jul-18,30552064,USD,0.0,97368,4.5,12+,Entertainment,288150
The CW,ENTERTAINMENT,4.4,288150,21000.0,5000000.0,Free,0.0,Teen,23-Jul-18,30552064,USD,0.0,97368,4.5,12+,Entertainment,288150
The CW,FAMILY,4.4,288209,21000.0,5000000.0,Free,0.0,Teen,23-Jul-18,30552064,USD,0.0,97368,4.5,12+,Entertainment,288209
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19000.0,1000000.0,Free,0.0,Teen,8-Jul-18,37992448,USD,0.0,967,2.5,17+,Entertainment,14807
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19000.0,1000000.0,Free,0.0,Teen,8-Jul-18,37992448,USD,0.0,967,2.5,17+,Entertainment,14807
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19000.0,1000000.0,Free,0.0,Teen,8-Jul-18,37992448,USD,0.0,967,2.5,17+,Entertainment,14807
SHOWTIME,ENTERTAINMENT,4.2,12398,,1000000.0,Free,0.0,Teen,2-Jul-18,25903104,USD,0.0,1214,2.5,17+,Entertainment,12398
SHOWTIME,ENTERTAINMENT,4.2,12398,,1000000.0,Free,0.0,Teen,2-Jul-18,25903104,USD,0.0,1214,2.5,17+,Entertainment,12398
WWE,ENTERTAINMENT,4.5,736864,20000.0,10000000.0,Free,0.0,Teen,19-Jan-18,88150016,USD,0.0,7553,4.0,12+,Entertainment,736864
WWE,FAMILY,4.5,736824,20000.0,10000000.0,Free,0.0,Teen,19-Jan-18,88150016,USD,0.0,7553,4.0,12+,Entertainment,736824
MTV,ENTERTAINMENT,3.8,35279,15000.0,1000000.0,Free,0.0,Teen,8-Jul-18,113787904,USD,0.0,5987,2.5,12+,Entertainment,35279
MTV,ENTERTAINMENT,3.8,35279,15000.0,1000000.0,Free,0.0,Teen,8-Jul-18,113787904,USD,0.0,5987,2.5,12+,Entertainment,35279
Redbox,ENTERTAINMENT,4.1,115033,30000.0,10000000.0,Free,0.0,Everyone,2-Jul-18,83906560,USD,0.0,60236,3.0,12+,Entertainment,115033
My Talking Pet,ENTERTAINMENT,4.6,6238,,100000.0,Paid,4.99,Everyone,30-Jun-18,51005440,USD,1.99,9035,4.5,4+,Entertainment,6238
Wells Fargo Mobile,FINANCE,4.4,250706,37000.0,10000000.0,Free,0.0,Everyone,31-Jul-18,57328640,USD,0.0,43064,3.0,4+,Finance,250706
Wells Fargo Mobile,FINANCE,4.4,250719,37000.0,10000000.0,Free,0.0,Everyone,31-Jul-18,57328640,USD,0.0,43064,3.0,4+,Finance,250719
USAA Mobile,FINANCE,4.5,100997,33000.0,5000000.0,Free,0.0,Everyone,27-Jul-18,164382720,USD,0.0,19946,4.0,4+,Finance,100997
Amex Mobile,FINANCE,4.3,24729,32000.0,1000000.0,Free,0.0,Everyone,3-Aug-18,105982976,USD,0.0,11421,4.0,4+,Finance,24729
Citi Mobile®,FINANCE,4.0,78306,46000.0,5000000.0,Free,0.0,Everyone,31-Jul-18,281244672,USD,0.0,48822,3.5,4+,Finance,78306
Chase Mobile,FINANCE,4.6,1374549,32000.0,10000000.0,Free,0.0,Everyone,23-Jul-18,34950144,USD,0.0,34322,4.5,4+,Finance,1374549
McDonald's,FOOD_AND_DRINK,3.6,145323,42000.0,10000000.0,Free,0.0,Everyone,31-Jul-18,202457088,USD,0.0,4050,2.0,4+,Food & Drink,145323
McDonald's,FOOD_AND_DRINK,3.6,145646,42000.0,10000000.0,Free,0.0,Everyone,31-Jul-18,202457088,USD,0.0,4050,2.0,4+,Food & Drink,145646
Chick-fil-A,FOOD_AND_DRINK,4.3,28008,17000.0,5000000.0,Free,0.0,Everyone,3-Aug-18,96230400,USD,0.0,5665,3.5,4+,Food & Drink,28008
Chick-fil-A,FOOD_AND_DRINK,4.3,28009,17000.0,5000000.0,Free,0.0,Everyone,3-Aug-18,96230400,USD,0.0,5665,3.5,4+,Food & Drink,28009
Chick-fil-A,FOOD_AND_DRINK,4.3,27931,17000.0,5000000.0,Free,0.0,Everyone,3-Aug-18,96230400,USD,0.0,5665,3.5,4+,Food & Drink,27931
Starbucks,FOOD_AND_DRINK,4.5,455377,35000.0,10000000.0,Free,0.0,Everyone,1-Aug-18,135032832,USD,0.0,303856,4.5,4+,Food & Drink,455377
Starbucks,FOOD_AND_DRINK,4.5,455496,35000.0,10000000.0,Free,0.0,Everyone,1-Aug-18,135032832,USD,0.0,303856,4.5,4+,Food & Drink,455496
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,,10000000.0,Free,0.0,Everyone,20-Jul-18,105743360,USD,0.0,258624,5.0,4+,Food & Drink,1032935
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,,10000000.0,Free,0.0,Everyone,20-Jul-18,105743360,USD,0.0,258624,5.0,4+,Food & Drink,1032935
SONIC Drive-In,FOOD_AND_DRINK,4.3,19314,43000.0,1000000.0,Free,0.0,Everyone,31-Jul-18,71068672,USD,0.0,1645,4.0,4+,Food & Drink,19314
SONIC Drive-In,FOOD_AND_DRINK,4.3,19373,43000.0,1000000.0,Free,0.0,Everyone,31-Jul-18,71068672,USD,0.0,1645,4.0,4+,Food & Drink,19373
Allrecipes Dinner Spinner,FOOD_AND_DRINK,4.5,61881,,5000000.0,Free,0.0,Everyone,10-Apr-18,36399104,USD,0.0,109349,3.5,12+,Food & Drink,61881
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2300.0,50000.0,Paid,4.99,Everyone,3-Jun-18,10432512,USD,4.99,1755,4.5,17+,Food & Drink,1268
DoorDash - Food Delivery,FOOD_AND_DRINK,4.5,104504,,1000000.0,Free,0.0,Everyone,31-Jul-18,100554752,USD,0.0,25947,4.5,4+,Food & Drink,104504
Fitbit,HEALTH_AND_FITNESS,3.9,357417,,10000000.0,Free,0.0,Everyone,26-Jul-18,132913152,USD,0.0,90496,4.0,4+,Health & Fitness,357417
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571,,1000000.0,Free,0.0,Everyone,3-Aug-18,142803968,USD,0.0,6808,4.5,4+,Health & Fitness,75571
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571,,1000000.0,Free,0.0,Everyone,3-Aug-18,142803968,USD,0.0,6808,4.5,4+,Health & Fitness,75571
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,,100000.0,Paid,2.99,Everyone,22-Dec-15,132480000,USD,2.99,4475,4.5,4+,Health & Fitness,2107
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,,100000.0,Paid,2.99,Everyone,22-Dec-15,132480000,USD,2.99,4475,4.5,4+,Health & Fitness,2107
Geocaching®,HEALTH_AND_FITNESS,4.1,62616,,5000000.0,Free,0.0,Teen,2-Aug-18,108166144,USD,0.0,12811,3.5,4+,Navigation,62616
H&M,LIFESTYLE,3.7,41941,14000.0,10000000.0,Free,0.0,Everyone,30-Jul-18,27372544,USD,0.0,687,3.0,4+,Shopping,41941
H&M,LIFESTYLE,3.7,41917,14000.0,10000000.0,Free,0.0,Everyone,30-Jul-18,27372544,USD,0.0,687,3.0,4+,Shopping,41917
ROBLOX,GAME,4.5,4447388,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4447388
ROBLOX,GAME,4.5,4447346,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4447346
ROBLOX,GAME,4.5,4448791,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4448791
ROBLOX,GAME,4.5,4449882,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4449882
ROBLOX,GAME,4.5,4449910,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4449910
ROBLOX,FAMILY,4.5,4449910,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4449910
ROBLOX,FAMILY,4.5,4450855,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4450855
ROBLOX,FAMILY,4.5,4450890,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4450890
ROBLOX,FAMILY,4.5,4443407,67000.0,100000000.0,Free,0.0,Everyone 10+,31-Jul-18,115178496,USD,0.0,183621,4.5,12+,Games,4443407
Subway Surfers,GAME,4.5,27722264,76000.0,1000000000.0,Free,0.0,Everyone 10+,12-Jul-18,156038144,USD,0.0,706110,4.5,9+,Games,27722264
Subway Surfers,GAME,4.5,27723193,76000.0,1000000000.0,Free,0.0,Everyone 10+,12-Jul-18,156038144,USD,0.0,706110,4.5,9+,Games,27723193
Subway Surfers,GAME,4.5,27724094,76000.0,1000000000.0,Free,0.0,Everyone 10+,12-Jul-18,156038144,USD,0.0,706110,4.5,9+,Games,27724094
Subway Surfers,GAME,4.5,27725352,76000.0,1000000000.0,Free,0.0,Everyone 10+,12-Jul-18,156038144,USD,0.0,706110,4.5,9+,Games,27725352
Subway Surfers,GAME,4.5,27725352,76000.0,1000000000.0,Free,0.0,Everyone 10+,12-Jul-18,156038144,USD,0.0,706110,4.5,9+,Games,27725352
Subway Surfers,GAME,4.5,27711703,76000.0,1000000000.0,Free,0.0,Everyone 10+,12-Jul-18,156038144,USD,0.0,706110,4.5,9+,Games,27711703
Candy Crush Saga,GAME,4.4,22426677,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22426677
Candy Crush Saga,GAME,4.4,22428456,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22428456
Candy Crush Saga,GAME,4.4,22428456,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22428456
Candy Crush Saga,GAME,4.4,22429716,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22429716
Candy Crush Saga,GAME,4.4,22430188,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22430188
Candy Crush Saga,GAME,4.4,22430188,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22430188
Candy Crush Saga,FAMILY,4.4,22419455,74000.0,500000000.0,Free,0.0,Everyone,5-Jul-18,222846976,USD,0.0,961794,4.5,4+,Games,22419455
Solitaire,GAME,4.7,254258,23000.0,10000000.0,Free,0.0,Everyone,1-Aug-18,101943296,USD,0.0,679055,4.5,4+,Games,254258
Solitaire,GAME,4.7,154264,12000.0,10000000.0,Free,0.0,Everyone,8-Jun-18,101943296,USD,0.0,679055,4.5,4+,Games,154264
Solitaire,FAMILY,4.4,685,26000.0,100000.0,Free,0.0,Everyone,16-Jul-18,101943296,USD,0.0,679055,4.5,4+,Games,685
slither.io,GAME,4.4,5234162,,100000000.0,Free,0.0,Everyone,14-Nov-17,32516096,USD,0.0,107817,3.5,4+,Games,5234162
slither.io,GAME,4.4,5234825,,100000000.0,Free,0.0,Everyone,14-Nov-17,32516096,USD,0.0,107817,3.5,4+,Games,5234825
slither.io,GAME,4.4,5234810,,100000000.0,Free,0.0,Everyone,14-Nov-17,32516096,USD,0.0,107817,3.5,4+,Games,5234810
